Sample,Time,Decoder,Ann Row,Ann Class,Value,
2228677,22.287 ms,USB packet,Packets,Packet: SOF,SOF 1258,
2328678,23.287 ms,USB packet,Packets,Packet: SOF,SOF 1259,
2428678,24.287 ms,USB packet,Packets,Packet: SOF,SOF 1260,
2528672,25.287 ms,USB packet,Packets,Packet: SOF,SOF 1261,
2628676,26.287 ms,USB packet,Packets,Packet: SOF,SOF 1262,
2728677,27.287 ms,USB packet,Packets,Packet: SOF,SOF 1263,
2828677,28.287 ms,USB packet,Packets,Packet: SOF,SOF 1264,
2928678,29.287 ms,USB packet,Packets,Packet: SOF,SOF 1265,
3028672,30.287 ms,USB packet,Packets,Packet: SOF,SOF 1266,
3128676,31.287 ms,USB packet,Packets,Packet: SOF,SOF 1267,
3228676,32.287 ms,USB packet,Packets,Packet: SOF,SOF 1268,
3328677,33.287 ms,USB packet,Packets,Packet: SOF,SOF 1269,
3428678,34.287 ms,USB packet,Packets,Packet: SOF,SOF 1270,
3528678,35.287 ms,USB packet,Packets,Packet: SOF,SOF 1271,
3628672,36.287 ms,USB packet,Packets,Packet: SOF,SOF 1272,
3728676,37.287 ms,USB packet,Packets,Packet: SOF,SOF 1273,
3828677,38.287 ms,USB packet,Packets,Packet: SOF,SOF 1274,
3928677,39.287 ms,USB packet,Packets,Packet: SOF,SOF 1275,
4028678,40.287 ms,USB packet,Packets,Packet: SOF,SOF 1276,
4128678,41.287 ms,USB packet,Packets,Packet: SOF,SOF 1277,
4228672,42.287 ms,USB packet,Packets,Packet: SOF,SOF 1278,
4328676,43.287 ms,USB packet,Packets,Packet: SOF,SOF 1279,
4428677,44.287 ms,USB packet,Packets,Packet: SOF,SOF 1280,
4528678,45.287 ms,USB packet,Packets,Packet: SOF,SOF 1281,
4628678,46.287 ms,USB packet,Packets,Packet: SOF,SOF 1282,
4728679,47.287 ms,USB packet,Packets,Packet: SOF,SOF 1283,
4828673,48.287 ms,USB packet,Packets,Packet: SOF,SOF 1284,
4928677,49.287 ms,USB packet,Packets,Packet: SOF,SOF 1285,
5028677,50.287 ms,USB packet,Packets,Packet: SOF,SOF 1286,
5128678,51.287 ms,USB packet,Packets,Packet: SOF,SOF 1287,
5228679,52.287 ms,USB packet,Packets,Packet: SOF,SOF 1288,
5328679,53.287 ms,USB packet,Packets,Packet: SOF,SOF 1289,
5428673,54.287 ms,USB packet,Packets,Packet: SOF,SOF 1290,
5528677,55.287 ms,USB packet,Packets,Packet: SOF,SOF 1291,
5628678,56.287 ms,USB packet,Packets,Packet: SOF,SOF 1292,
5704920,57.049 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 00 01 00 00 40 00 ][ 12 01 01 02 EF 02 01 40 83 04 9D FF 00 02 01 02 03 01 ] : ACK,
5704920,57.049 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 0 EP 0,
5705245,57.052 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 40 00 ],
5706095,57.061 ms,USB packet,Packets,Packet: ACK,ACK,
5707353,57.074 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0,
5707668,57.077 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 12 01 01 02 EF 02 01 40 83 04 9D FF 00 02 01 02 03 01 ],
5709203,57.092 ms,USB packet,Packets,Packet: ACK,ACK,
5710045,57.100 ms,USB packet,Packets,Packet: OUT,OUT ADDR 0 EP 0,
5710370,57.104 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
5710686,57.107 ms,USB packet,Packets,Packet: ACK,ACK,
5728678,57.287 ms,USB packet,Packets,Packet: SOF,SOF 1293,
5729003,57.290 ms,USB request,USB SETUP,Setup: Host-to-device,SETUP out: [ 00 05 2B 00 00 00 00 00 ][ ] : ACK,
5729003,57.290 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 0 EP 0,
5729328,57.293 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 00 05 2B 00 00 00 00 00 ],
5730185,57.302 ms,USB packet,Packets,Packet: ACK,ACK,
5731345,57.313 ms,USB packet,Packets,Packet: IN,IN ADDR 0 EP 0,
5731660,57.317 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
5732003,57.320 ms,USB packet,Packets,Packet: ACK,ACK,
5828679,58.287 ms,USB packet,Packets,Packet: SOF,SOF 1294,
5928673,59.287 ms,USB packet,Packets,Packet: SOF,SOF 1295,
6028677,60.287 ms,USB packet,Packets,Packet: SOF,SOF 1296,
6128677,61.287 ms,USB packet,Packets,Packet: SOF,SOF 1297,
6228678,62.287 ms,USB packet,Packets,Packet: SOF,SOF 1298,
6328679,63.287 ms,USB packet,Packets,Packet: SOF,SOF 1299,
6428679,64.287 ms,USB packet,Packets,Packet: SOF,SOF 1300,
6528673,65.287 ms,USB packet,Packets,Packet: SOF,SOF 1301,
6628677,66.287 ms,USB packet,Packets,Packet: SOF,SOF 1302,
6728678,67.287 ms,USB packet,Packets,Packet: SOF,SOF 1303,
6746359,67.464 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 00 01 00 00 12 00 ][ 12 01 01 02 EF 02 01 40 83 04 9D FF 00 02 01 02 03 01 ] : ACK,
6746359,67.464 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
6746684,67.467 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 00 01 00 00 12 00 ],
6747535,67.475 ms,USB packet,Packets,Packet: ACK,ACK,
